時間,設備,值
2024-10-19 15:05:23,SA-43/TEMPERATURE,30.32
2024-10-19 15:05:25,SA-43/TEMPERATURE,29.85
2024-10-19 15:05:31,SA-43/TEMPERATURE,30.32
2024-10-19 15:05:33,SA-43/TEMPERATURE,29.85
2024-10-19 15:05:35,SA-43/TEMPERATURE,30.32
2024-10-19 15:05:41,SA-43/TEMPERATURE,29.85
2024-10-19 15:05:45,SA-43/TEMPERATURE,30.32
2024-10-19 15:05:47,SA-43/TEMPERATURE,29.85
2024-10-19 15:05:53,SA-43/TEMPERATURE,30.32
2024-10-19 15:05:55,SA-43/TEMPERATURE,29.85
2024-10-19 15:05:57,SA-43/TEMPERATURE,30.32
2024-10-19 15:05:59,SA-43/TEMPERATURE,29.85
2024-10-19 15:06:01,SA-43/TEMPERATURE,30.32
2024-10-19 15:06:03,SA-43/TEMPERATURE,29.85
2024-10-19 15:06:05,SA-43/TEMPERATURE,30.32
2024-10-19 15:06:07,SA-43/TEMPERATURE,29.85
2024-10-19 15:06:15,SA-43/TEMPERATURE,30.32
2024-10-19 15:06:17,SA-43/TEMPERATURE,29.85
2024-10-19 15:06:23,SA-43/TEMPERATURE,30.32
2024-10-19 15:06:25,SA-43/TEMPERATURE,29.85
2024-10-19 15:07:13,SA-43/TEMPERATURE,30.32
2024-10-19 15:07:15,SA-43/TEMPERATURE,29.85
2024-10-19 15:09:11,SA-43/TEMPERATURE,30.32
2024-10-19 15:09:13,SA-43/TEMPERATURE,29.85
2024-10-19 15:10:13,SA-43/TEMPERATURE,30.32
2024-10-19 15:10:15,SA-43/TEMPERATURE,29.85
2024-10-19 15:10:41,SA-43/TEMPERATURE,30.32
2024-10-19 15:10:43,SA-43/TEMPERATURE,29.85
2024-10-19 15:13:09,SA-43/TEMPERATURE,29.39
2024-10-19 15:13:11,SA-43/TEMPERATURE,29.85
2024-10-19 15:13:27,SA-43/TEMPERATURE,29.39
2024-10-19 15:13:29,SA-43/TEMPERATURE,29.85
2024-10-19 15:15:17,SA-43/TEMPERATURE,30.32
2024-10-19 15:15:19,SA-43/TEMPERATURE,29.85
2024-10-19 15:15:43,SA-43/TEMPERATURE,30.32
2024-10-19 15:15:45,SA-43/TEMPERATURE,29.85
2024-10-19 15:15:47,SA-43/TEMPERATURE,30.32
2024-10-19 15:15:49,SA-43/TEMPERATURE,29.85
2024-10-19 15:16:31,SA-43/TEMPERATURE,30.32
2024-10-19 15:16:33,SA-43/TEMPERATURE,29.85
2024-10-19 15:17:25,SA-43/TEMPERATURE,30.32
2024-10-19 15:17:27,SA-43/TEMPERATURE,29.85
2024-10-19 15:17:33,SA-43/TEMPERATURE,30.32
2024-10-19 15:17:35,SA-43/TEMPERATURE,29.85
2024-10-19 15:18:11,SA-43/TEMPERATURE,30.32
2024-10-19 15:18:13,SA-43/TEMPERATURE,29.85
2024-10-19 15:18:15,SA-43/TEMPERATURE,30.32
2024-10-19 15:18:21,SA-43/TEMPERATURE,29.85
2024-10-19 15:18:33,SA-43/TEMPERATURE,30.32
2024-10-19 15:18:35,SA-43/TEMPERATURE,29.85
2024-10-19 15:18:37,SA-43/TEMPERATURE,30.32
2024-10-19 15:18:39,SA-43/TEMPERATURE,29.85
2024-10-19 15:18:41,SA-43/TEMPERATURE,30.32
2024-10-19 15:18:43,SA-43/TEMPERATURE,29.85
2024-10-19 15:18:45,SA-43/TEMPERATURE,30.32
2024-10-19 15:18:47,SA-43/TEMPERATURE,29.85
2024-10-19 15:18:55,SA-43/TEMPERATURE,30.32
2024-10-19 15:18:57,SA-43/TEMPERATURE,29.85
2024-10-19 15:19:01,SA-43/TEMPERATURE,30.32
2024-10-19 15:19:03,SA-43/TEMPERATURE,29.85
2024-10-19 15:19:05,SA-43/TEMPERATURE,30.32
2024-10-19 15:19:07,SA-43/TEMPERATURE,29.85
2024-10-19 15:19:11,SA-43/TEMPERATURE,30.32
2024-10-19 15:19:13,SA-43/TEMPERATURE,29.85
2024-10-19 15:19:25,SA-43/TEMPERATURE,30.32
2024-10-19 15:19:29,SA-43/TEMPERATURE,29.85
2024-10-19 15:19:31,SA-43/TEMPERATURE,30.32
2024-10-19 15:19:33,SA-43/TEMPERATURE,29.85
2024-10-19 15:19:37,SA-43/TEMPERATURE,30.32
2024-10-19 15:19:39,SA-43/TEMPERATURE,29.85
2024-10-19 15:19:47,SA-43/TEMPERATURE,30.32
2024-10-19 15:19:49,SA-43/TEMPERATURE,29.85
2024-10-19 15:19:51,SA-43/TEMPERATURE,30.32
2024-10-19 15:19:53,SA-43/TEMPERATURE,29.85
2024-10-19 15:19:55,SA-43/TEMPERATURE,30.32
2024-10-19 15:19:59,SA-43/TEMPERATURE,29.85
2024-10-19 15:20:01,SA-43/TEMPERATURE,30.32
2024-10-19 15:20:06,SA-43/TEMPERATURE,29.85
2024-10-19 15:20:11,SA-43/TEMPERATURE,30.32
2024-10-19 15:20:15,SA-43/TEMPERATURE,29.85
2024-10-19 15:20:17,SA-43/TEMPERATURE,30.32
2024-10-19 15:20:19,SA-43/TEMPERATURE,29.85
2024-10-19 15:20:26,SA-43/TEMPERATURE,30.32
2024-10-19 15:20:27,SA-43/TEMPERATURE,29.85
2024-10-19 15:20:35,SA-43/TEMPERATURE,30.32
2024-10-19 15:20:37,SA-43/TEMPERATURE,29.85
2024-10-19 15:20:43,SA-43/TEMPERATURE,30.32
