時間,設備,值
2024-10-12 14:05:40,SA-01/LED_LEVEL,7
2024-10-12 14:05:40,SA-01/LED_LEVEL,7
2024-10-12 14:05:40,SA-01/LED_LEVEL,7
2024-10-12 14:05:40,SA-01/LED_LEVEL,7
2024-10-12 14:05:40,SA-43/LED_LEVEL,7
2024-10-12 14:05:40,SA-43/LED_LEVEL,7
2024-10-12 16:13:33,SA-01/LED_LEVEL,8
2024-10-12 16:14:07,SA-01/LED_LEVEL,9
2024-10-12 16:14:08,SA-01/LED_LEVEL,8
